"tax1","tax2","value"
"SRR9008275-inv-223-Cor-bigB","SRR9008214-meg-130-BZ-bigB",0.0279713229356659
"GCa3-11-bigB-p","SRR9008275-inv-223-Cor-bigB",0.0271155436762935
"SRR9008275-inv-223-Cor-bigB","GCa3-11-bigB-p",0.0271155436762935
"SRR9008217-int-122-Car-bigB","GCa8-9-littleb-p",0.0266058656523097
"GCa8-9-littleb-p","SRR9008217-int-122-Car-bigB",0.0266058656523097
"GCa3-11-bigB-p","SRR9008232-xAdR-134-Bra-bigB",0.0253856627160137
"SRR9008232-xAdR-134-Bra-bigB","GCa3-11-bigB-p",0.0253856627160137
"GCa3-9-littleb-p","SRR9008232-xAdR-134-Bra-bigB",0.0251962395982824
"SRR9008232-xAdR-134-Bra-bigB","GCa3-9-littleb-p",0.0251962395982824
"GCa3-9-littleb-p","SRR9008197-ric-96-Ros-bigB",0.0251830622467881
"SRR9008197-ric-96-Ros-bigB","GCa3-9-littleb-p",0.0251830622467881
"SRR9008166-int-125-Car-littleb","SRR9008214-meg-130-BZ-bigB",0.0239005862932624
"SRR9008118-int-124-Car-littleb","SRR9008214-meg-130-BZ-bigB",0.0239005862932624
"SRR9008214-meg-130-BZ-bigB","SRR9008166-int-125-Car-littleb",0.0239005862932624
"SRR9008214-meg-130-BZ-bigB","SRR9008118-int-124-Car-littleb",0.0239005862932624
"SRR9008214-meg-130-BZ-bigB","GCa8-9-littleb-p",0.0232692227480448
"GCa8-9-littleb-p","SRR9008214-meg-130-BZ-bigB",0.0232692227480448
"SRR9008217-int-122-Car-bigB","SRR9008214-meg-130-BZ-bigB",0.0215914692196706
"SRR9008214-meg-130-BZ-bigB","SRR9008217-int-122-Car-bigB",0.0215914692196706
"SRR9008214-meg-130-BZ-bigB","SRR9008163-inv-225-Mis-littleb",0.0212248311952358
"SRR9008163-inv-225-Mis-littleb","SRR9008214-meg-130-BZ-bigB",0.0212248311952358
"SRR9008217-int-122-Car-bigB","SRR9008275-inv-223-Cor-bigB",0.0197005000806955
"SRR9008275-inv-223-Cor-bigB","SRR9008217-int-122-Car-bigB",0.0197005000806955
"SRR9008217-int-122-Car-bigB","SRR9008167-meg-127-BZ-littleb",0.019578850965806
"SRR9008167-meg-127-BZ-littleb","SRR9008217-int-122-Car-bigB",0.019578850965806
"SRR9008214-meg-130-BZ-bigB","SRR9008168-xAdR-135-Pos-littleb",0.0188966180895463
"SRR9008168-xAdR-135-Pos-littleb","SRR9008214-meg-130-BZ-bigB",0.0188966180895463
"SRR9008232-xAdR-134-Bra-bigB","SRR9008197-ric-96-Ros-bigB",0.0184045343424456
"SRR9008197-ric-96-Ros-bigB","SRR9008232-xAdR-134-Bra-bigB",0.0184045343424456
"SRR9008232-xAdR-134-Bra-bigB","SRR9008136-ric-74-Ros-littleb",0.0182956255023157
"SRR9008136-ric-74-Ros-littleb","SRR9008232-xAdR-134-Bra-bigB",0.0182956255023157
"SRR9008158-sae-47-Bel-bigB","SRR9008214-meg-130-BZ-bigB",0.0171179772151815
"SRR9008214-meg-130-BZ-bigB","SRR9008158-sae-47-Bel-bigB",0.0171179772151815
"SRR9008197-ric-96-Ros-bigB","GCa8-9-littleb-p",0.0170329292858202
"GCa8-9-littleb-p","SRR9008197-ric-96-Ros-bigB",0.0170329292858202
"SRR9008217-int-122-Car-bigB","SRR9008168-xAdR-135-Pos-littleb",0.0167832976308124
"SRR9008168-xAdR-135-Pos-littleb","SRR9008217-int-122-Car-bigB",0.0167832976308124
"SRR9008166-int-125-Car-littleb","SRR9008197-ric-96-Ros-bigB",0.0165408687008744
"SRR9008118-int-124-Car-littleb","SRR9008197-ric-96-Ros-bigB",0.0165408687008744
"SRR9008197-ric-96-Ros-bigB","SRR9008166-int-125-Car-littleb",0.0165408687008744
"SRR9008197-ric-96-Ros-bigB","SRR9008118-int-124-Car-littleb",0.0165408687008744
"SRR9008217-int-122-Car-bigB","SRR9008232-xAdR-134-Bra-bigB",0.0161260940081686
"SRR9008232-xAdR-134-Bra-bigB","SRR9008217-int-122-Car-bigB",0.0161260940081686
"GCa3-11-bigB-p","SRR9008197-ric-96-Ros-bigB",0.0158721229152154
"SRR9008197-ric-96-Ros-bigB","GCa3-11-bigB-p",0.0158721229152154
"SRR9008166-int-125-Car-littleb","SRR9008232-xAdR-134-Bra-bigB",0.0152034324435033
