triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008158_sae-47-Bel-bigB,SRR9008214_meg-130-BZ-bigB,0.0,3.513999999999998,0.7376882396041269,0.2623117603958732,0.0005000000000000003,0.0007608571428571429,-83.12095740183881,-84.58899901998463,7
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008158_sae-47-Bel-bigB,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008217_int-122-Car-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.776040302035572,0.400155220429104,0.5998447795708961,0.0005515049615372557,0.0012410000000000003,-1161.7446188546005,-1156.5099328296876,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008217_int-122-Car-bigB,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008217_int-122-Car-bigB,SRR9008217_int-122-Car-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008197_ric-96-Ros-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.546083113097561,0.34058545896931947,0.6594145410306806,0.000562432543004392,0.001248058823529412,-1165.7104025171086,-1155.35286587182,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008197_ric-96-Ros-bigB,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008197_ric-96-Ros-bigB,SRR9008197_ric-96-Ros-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008232_xAdR-134-Bra-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.461622887501831,0.43984642964676773,0.5601535703532323,0.0006617585529736379,0.001348950980392157,-1138.298150477603,-1139.4943473781764,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008232_xAdR-134-Bra-bigB,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008232_xAdR-134-Bra-bigB,SRR9008232_xAdR-134-Bra-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008275_inv-223-Cor-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.8719999999996566,0.34594451082162714,0.6540554891783729,0.0005000000000000599,0.0011938823529411763,-1180.7058882221932,-1164.4061665379556,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008275_inv-223-Cor-bigB,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008275_inv-223-Cor-bigB,SRR9008275_inv-223-Cor-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008168_xAdR-135-Pos-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.3620027903671246,0.42768562486811085,0.5723143751318891,0.0006206597240184211,0.001225135922330097,-1169.715114427374,-1170.5341887439017,103
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008168_xAdR-135-Pos-littleb,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008168_xAdR-135-Pos-littleb,SRR9008168_xAdR-135-Pos-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008163_inv-225-Mis-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.7245509818133593,0.35510627241740467,0.6448937275825951,0.0005002659187140034,0.0011327254901960784,-1185.4288431510383,-1175.133264052181,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008163_inv-225-Mis-littleb,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008163_inv-225-Mis-littleb,SRR9008163_inv-225-Mis-littleb,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008167_meg-127-BZ-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.6496999996864625,0.42485409763869714,0.5751459023613029,0.0005778012605884298,0.001225392156862745,-1161.261377116883,-1159.0918762522283,102
Lad4-1-bigB-m-majorityallele_SRR9008214_meg-130-BZ-bigB_SRR9008167_meg-127-BZ-littleb,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,1
